	featureCounts on dataset 196 and 292: Counts	featureCounts on dataset 196 and 296: Counts	featureCounts on dataset 196 and 300: Counts	featureCounts on dataset 196 and 304: Counts	featureCounts on dataset 196 and 290: Counts	featureCounts on dataset 196 and 294: Counts	featureCounts on dataset 196 and 298: Counts	featureCounts on dataset 196 and 302: Counts
ENSG00000285650.1	2.056070513555	0	2.3424819780342	2.97022399892833	2.50992110130714	0.930411886697632	0	5.63241005673367
ENSG00000127080.10	52.0871196767268	104.753086132015	69.103218352009	77.2258239721365	129.679256900869	131.188076024366	220.451438394576	144.189697452382
ENSG00000213669.2	0	0	0	0	0	0	0	0
ENSG00000185963.14	1102.05379526548	1000.00399816766	1015.46593747783	1064.33026628265	1275.87655983113	1208.60504082022	1192.23737090944	1014.96029222341
ENSG00000288062.1	0	2.90980794811152	2.3424819780342	0.990074666309442	0	2.7912356600929	1.49966964894269	6.75889206808041
ENSG00000288271.1	0	1.93987196540768	0	0	0	0	0	0
ENSG00000291168.1	6.85356837851668	7.75948786163072	15.2261328572223	6.9305226641661	1.67328073420476	9.30411886697632	0	12.3913021248141
ENSG00000187984.14	0	0	0	0	0	0	0	0
ENSG00000252772.1	0	0	0	0	0	0	0	0
ENSG00000226721.2	0	0	0	0	0	0	0	0
ENSG00000275318.1	13.0217799191817	9.69935982703841	7.02744593410261	12.8709706620227	3.34656146840952	7.44329509358106	10.4976875425988	9.01185609077388
ENSG00000127081.14	120.622803461894	183.317900731026	113.610375934659	131.679930619156	82.8273963431356	168.404551492271	155.96564349004	138.557287395648
ENSG00000291169.1	0	0	0	0	0	0	0	0
ENSG00000226668.6	0	0	0	0	0	0	0	0
ENSG00000232843.2	0	0	0	0	0	0	0	0
ENSG00000188101.5	0	0	0	0.990074666309442	0	0.930411886697632	7.49834824471346	0
ENSG00000127084.19	320.061643276729	1088.26817259371	315.0638260456	396.029866523777	284.457724814809	1187.20556742618	629.861252555931	437.075020402533
ENSG00000157303.11	324.859141141691	1602.33424342674	264.700463517865	448.503823838177	80.3174752418285	497.770359383233	326.927983469507	220.79047422396
ENSG00000223446.2	0	0	0	0	0	0	0	0
ENSG00000165233.18	594.889735255248	909.799951776202	621.928965168081	562.362410463763	408.280499145961	559.177543905277	626.861913258045	497.905049015257
ENSG00000131669.10	1239.81051967367	2155.19775356793	1308.2761847321	1802.92596734949	1067.55310842264	1671.01974850895	1103.75686162182	2461.36319479262
ENSG00000203364.2	6.16821154066501	5.81961589622304	2.3424819780342	2.97022399892833	0	0	0	1.12648201134673
